year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2021,12,9E,Endeavor Air Inc.,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",127,9,2.51,0,3.54,0,2.95,0,0,264,119,0,68,0,77
2021,12,9E,Endeavor Air Inc.,ABY,"Albany, GA: Southwest Georgia Regional",73,11,5.02,0,4.11,0,1.87,0,0,342,125,0,142,0,75
2021,12,9E,Endeavor Air Inc.,AEX,"Alexandria, LA: Alexandria International",62,8,2.63,0,4.22,0,1.15,0,0,439,156,0,103,0,180
2021,12,9E,Endeavor Air Inc.,AGS,"Augusta, GA: Augusta Regional at Bush Field",166,18,8.53,3.25,3.49,0,2.74,0,1,1266,291,693,167,0,115
2021,12,9E,Endeavor Air Inc.,ALB,"Albany, NY: Albany International",52,6,3.15,1.88,0.15,0,0.82,0,0,497,278,180,21,0,18
2021,12,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",3705,388,96.28,29.68,101.87,0,160.18,12,4,30500,10300,2853,4638,0,12709
2021,12,9E,Endeavor Air Inc.,ATW,"Appleton, WI: Appleton International",80,15,6.66,1.93,4,0,2.41,2,2,1863,469,1089,181,0,124
2021,12,9E,Endeavor Air Inc.,AUS,"Austin, TX: Austin - Bergstrom International",30,5,1.94,0,3.02,0,0.04,0,1,469,385,0,81,0,3
2021,12,9E,Endeavor Air Inc.,AVL,"Asheville, NC: Asheville Regional",51,2,0,0,0,0,2,0,0,181,0,0,0,0,181
2021,12,9E,Endeavor Air Inc.,AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International",87,12,4.68,1.83,3.34,0,2.15,1,1,1700,819,662,97,0,122
2021,12,9E,Endeavor Air Inc.,BGM,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field",31,1,1,0,0,0,0,0,2,15,15,0,0,0,0
2021,12,9E,Endeavor Air Inc.,BGR,"Bangor, ME: Bangor International",79,4,0.72,0,2.28,0,1,0,0,111,13,0,56,0,42
2021,12,9E,Endeavor Air Inc.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",65,6,1.75,0.61,1.35,0,2.28,0,0,278,65,11,36,0,166
2021,12,9E,Endeavor Air Inc.,BIS,"Bismarck/Mandan, ND: Bismarck Municipal",67,19,4.49,0.21,7.25,0,7.05,1,0,973,359,40,212,0,362
2021,12,9E,Endeavor Air Inc.,BMI,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",77,7,2.47,0,2.6,0,1.93,0,0,310,44,0,199,0,67
2021,12,9E,Endeavor Air Inc.,BNA,"Nashville, TN: Nashville International",115,8,4.67,0,2.6,0,0.73,0,0,421,282,0,79,0,60
2021,12,9E,Endeavor Air Inc.,BOS,"Boston, MA: Logan International",249,18,7.37,0,2.14,0,8.49,1,0,1784,875,0,111,0,798
2021,12,9E,Endeavor Air Inc.,BQK,"Brunswick, GA: Brunswick Golden Isles",85,11,7.03,1.29,2.68,0,0,1,2,1439,539,723,177,0,0
2021,12,9E,Endeavor Air Inc.,BTR,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",118,9,1.93,3.04,2.43,0,1.61,0,0,401,77,186,88,0,50
2021,12,9E,Endeavor Air Inc.,BTV,"Burlington, VT: Burlington International",173,11,6.19,0,3.8,0,1.01,0,1,441,276,0,111,0,54
2021,12,9E,Endeavor Air Inc.,BUF,"Buffalo, NY: Buffalo Niagara International",255,16,8.32,1,4.12,0,2.56,0,0,1531,427,80,807,0,217
2021,12,9E,Endeavor Air Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",59,3,1,0,1,0,1,0,0,74,28,0,27,0,19
2021,12,9E,Endeavor Air Inc.,CAE,"Columbia, SC: Columbia Metropolitan",57,6,3.67,0,0.49,0,1.84,0,0,269,131,0,17,0,121
2021,12,9E,Endeavor Air Inc.,CHA,"Chattanooga, TN: Lovell Field",121,12,6.05,1,4.9,0,0.05,0,0,515,324,25,165,0,1
2021,12,9E,Endeavor Air Inc.,CHO,"Charlottesville, VA: Charlottesville Albemarle",152,20,8.04,0,6.98,1,3.98,0,0,745,379,0,167,25,174
2021,12,9E,Endeavor Air Inc.,CHS,"Charleston, SC: Charleston AFB/International",145,15,3.2,0,8.25,0,3.55,0,0,496,152,0,218,0,126
2021,12,9E,Endeavor Air Inc.,CID,"Cedar Rapids/Iowa City, IA: The Eastern Iowa",192,32,14.23,0,13.39,0,4.38,5,0,1593,982,0,368,0,243
2021,12,9E,Endeavor Air Inc.,CLE,"Cleveland, OH: Cleveland-Hopkins International",231,23,10.26,1.85,5.97,0,4.92,0,0,1135,320,75,147,0,593
2021,12,9E,Endeavor Air Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",92,4,1,0,3,0,0,0,0,123,60,0,63,0,0
2021,12,9E,Endeavor Air Inc.,CMH,"Columbus, OH: John Glenn Columbus International",40,6,1.96,0.44,2.4,0,1.2,0,0,325,69,61,125,0,70
2021,12,9E,Endeavor Air Inc.,CRW,"Charleston/Dunbar, WV: Yeager",89,11,7.34,0,0.6,0,3.06,0,0,760,662,0,9,0,89
2021,12,9E,Endeavor Air Inc.,CSG,"Columbus, GA: Columbus Airport",77,13,4.95,1,5.41,0,1.63,0,0,510,279,39,155,0,37
2021,12,9E,Endeavor Air Inc.,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",595,66,26.92,2.08,19.9,0,17.1,2,0,3823,1625,201,669,0,1328
2021,12,9E,Endeavor Air Inc.,CWA,"Mosinee, WI: Central Wisconsin",105,29,11.44,6.2,10.02,0,1.33,2,2,5119,627,3884,486,0,122
2021,12,9E,Endeavor Air Inc.,DAY,"Dayton, OH: James M Cox/Dayton International",141,24,10.21,1.39,8.11,0,4.29,0,0,1373,417,571,258,0,127
2021,12,9E,Endeavor Air Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",128,15,2.47,0,8.51,0,4.01,0,0,667,186,0,214,0,267
